,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank
71,Mean/Mode,30,MNAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
72,Mean/Mode,32,MAR,0.01,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
73,KNN,32,MAR,0.01,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
74,Mean/Mode,32,MAR,0.1,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
75,KNN,32,MAR,0.1,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
76,Mean/Mode,32,MAR,0.3,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
77,KNN,32,MAR,0.3,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
78,Mean/Mode,32,MAR,0.5,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
79,KNN,32,MAR,0.5,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
80,KNN,32,MCAR,0.01,input4,downstream_performance_mean,F1_macro,0.9321427108258497,0.0,0.9326152383752564,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
81,Mean/Mode,32,MCAR,0.01,input4,downstream_performance_mean,F1_macro,0.9325430126265633,0.0,0.9330203589044932,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
82,Mean/Mode,32,MCAR,0.1,input4,downstream_performance_mean,F1_macro,0.9223317893713346,0.0,0.9218121488882858,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
83,KNN,32,MCAR,0.1,input4,downstream_performance_mean,F1_macro,0.9237108859795992,0.0,0.9237835063754,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
84,Mean/Mode,32,MCAR,0.3,input4,downstream_performance_mean,F1_macro,0.911538987379624,0.0,0.9102865628827328,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
85,KNN,32,MCAR,0.3,input4,downstream_performance_mean,F1_macro,0.9097488513523558,0.0,0.911122443245116,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
86,Mean/Mode,32,MCAR,0.5,input4,downstream_performance_mean,F1_macro,0.904075298439453,0.0,0.9034837717056344,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
87,KNN,32,MCAR,0.5,input4,downstream_performance_mean,F1_macro,0.9054491432453494,0.0,0.905122941174949,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
88,Mean/Mode,32,MNAR,0.01,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
89,KNN,32,MNAR,0.01,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
90,Mean/Mode,32,MNAR,0.1,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
91,KNN,32,MNAR,0.1,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
92,Mean/Mode,32,MNAR,0.3,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
93,KNN,32,MNAR,0.3,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
94,Mean/Mode,32,MNAR,0.5,input4,downstream_performance_mean,F1_macro,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,2.0
95,KNN,32,MNAR,0.5,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0
96,Mean/Mode,137,MAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
97,KNN,137,MAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
98,Mean/Mode,137,MAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
99,KNN,137,MAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
100,Mean/Mode,137,MAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
101,KNN,137,MAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
102,Mean/Mode,137,MAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
103,KNN,137,MAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
104,Mean/Mode,137,MCAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.6696690302878038,0.0,0.669627458965632,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
105,KNN,137,MCAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.6698587763408863,0.0,0.6698914478885554,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
106,KNN,137,MCAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.6675359381419876,0.0,0.6658748825506507,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
107,Mean/Mode,137,MCAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.6712906098984806,0.0,0.6698606170646147,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
108,Mean/Mode,137,MCAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.6620729371119616,0.0,0.6634838250905485,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
109,KNN,137,MCAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.6629352329172311,0.0,0.6640623959293487,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
110,KNN,137,MCAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.6654090645315003,0.0,0.6626666218858709,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
111,Mean/Mode,137,MCAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.6655032721649599,0.0,0.6630883947024018,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
112,Mean/Mode,137,MNAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
113,KNN,137,MNAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
114,Mean/Mode,137,MNAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
115,KNN,137,MNAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
116,Mean/Mode,137,MNAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
