,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average,Performance Difference Best to Average in Percentage
178,Random Forest,0.9810611600222292,MNAR - 0.3 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
179,Random Forest,0.9810611600222292,MNAR - 0.5 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
180,Random Forest,0.6317449796753936,MAR - 0.01 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
181,Random Forest,0.6317449796753936,MAR - 0.1 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
182,Random Forest,0.6317449796753936,MAR - 0.3 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
183,Random Forest,0.6317449796753936,MAR - 0.5 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
184,Random Forest,0.6192776920821489,MCAR - 0.01 - 1558,3.0,Mean/Mode,0.6192776920821489,1.0,0.0,0.0
185,Random Forest,0.701189631033687,MCAR - 0.1 - 1558,1.0,Random Forest,0.701189631033687,1.0,0.0,0.0
186,Random Forest,0.6896985098127879,MCAR - 0.3 - 1558,2.0,Mean/Mode,0.6908230433153714,1.0,0.001124533502583458,0.16278170125690075
187,Random Forest,0.657782595090244,MCAR - 0.5 - 1558,2.0,VAE,0.6918831844931287,1.0,0.03410058940288474,4.9286628389251455
188,Random Forest,0.6317449796753936,MNAR - 0.01 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
189,Random Forest,0.6317449796753936,MNAR - 0.1 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
190,Random Forest,0.6317449796753936,MNAR - 0.3 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
191,Random Forest,0.6317449796753936,MNAR - 0.5 - 1558,3.0,Mean/Mode,0.6317449796753936,1.0,0.0,0.0
192,Random Forest,0.6563899868247693,MAR - 0.01 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
193,Random Forest,0.6563899868247693,MAR - 0.1 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
194,Random Forest,0.6563899868247693,MAR - 0.3 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
195,Random Forest,0.6563899868247693,MAR - 0.5 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
196,Random Forest,0.657450245705441,MCAR - 0.01 - 40701,1.0,Random Forest,0.657450245705441,1.0,0.0,0.0
197,Random Forest,0.6301358438032384,MCAR - 0.1 - 40701,1.0,Random Forest,0.6301358438032384,1.0,0.0,0.0
198,Random Forest,0.6272235139988438,MCAR - 0.3 - 40701,1.0,Random Forest,0.6272235139988438,1.0,0.0,0.0
199,Random Forest,0.6345640461885473,MCAR - 0.5 - 40701,4.0,VAE,0.6592184328291231,1.0,0.02465438664057573,3.7399419392398014
