,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
123,Mean/Mode,151,MAR,0.1,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.1
125,Mean/Mode,151,MAR,0.3,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.3
127,Mean/Mode,151,MAR,0.5,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.5
129,KNN,151,MCAR,0.01,nswprice,downstream_performance_mean,F1_macro,0.746912238861543,0.0,0.7470152069018337,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.01
131,KNN,151,MCAR,0.1,nswprice,downstream_performance_mean,F1_macro,0.7477793066340815,0.0,0.7487500455363746,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.1
133,KNN,151,MCAR,0.3,nswprice,downstream_performance_mean,F1_macro,0.7457958779612546,0.0,0.7461734347700194,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.3
135,KNN,151,MCAR,0.5,nswprice,downstream_performance_mean,F1_macro,0.7413052596801184,0.0,0.741070049850758,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.5
137,Mean/Mode,151,MNAR,0.01,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.01
139,Mean/Mode,151,MNAR,0.1,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.1
141,Mean/Mode,151,MNAR,0.3,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.3
