,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
186,KNN,184,MNAR,0.1,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.1
188,KNN,184,MNAR,0.3,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.3
190,KNN,184,MNAR,0.5,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.5
192,KNN,189,MAR,0.01,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.01
194,KNN,189,MAR,0.1,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.1
196,KNN,189,MAR,0.3,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.3
198,KNN,189,MAR,0.5,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.5
200,KNN,189,MCAR,0.01,theta8,downstream_performance_mean,Regression Tasks,0.2051597881935479,0.0,0.2051210618812492,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.01
202,KNN,189,MCAR,0.1,theta8,downstream_performance_mean,Regression Tasks,0.2057681871719364,0.0,0.2058614094791314,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.1
204,Mean/Mode,189,MCAR,0.3,theta8,downstream_performance_mean,Regression Tasks,0.2067777146208529,0.0,0.2069564184417373,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.3
206,Mean/Mode,189,MCAR,0.5,theta8,downstream_performance_mean,Regression Tasks,0.2089815525216244,0.0,0.2089661840967835,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.5
208,KNN,189,MNAR,0.01,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.01
210,KNN,189,MNAR,0.1,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.1
212,KNN,189,MNAR,0.3,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.3
214,KNN,189,MNAR,0.5,theta8,downstream_performance_mean,Regression Tasks,0.2050396930666211,0.0,0.205047277037723,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.5
216,KNN,197,MAR,0.01,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.01
218,KNN,197,MAR,0.1,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.1
220,KNN,197,MAR,0.3,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.3
222,KNN,197,MAR,0.5,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.5
224,KNN,197,MCAR,0.01,pgin,downstream_performance_mean,Regression Tasks,9.19423978600764,0.0,9.194242509124352,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.01
226,KNN,197,MCAR,0.1,pgin,downstream_performance_mean,Regression Tasks,9.29041417367071,0.0,9.229567948809809,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.1
228,KNN,197,MCAR,0.3,pgin,downstream_performance_mean,Regression Tasks,9.21066956149265,0.0,9.257244724909947,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.3
230,Mean/Mode,197,MCAR,0.5,pgin,downstream_performance_mean,Regression Tasks,9.443351341922089,0.0,9.421747673458473,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.5
232,KNN,197,MNAR,0.01,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.01
234,KNN,197,MNAR,0.1,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.1
236,KNN,197,MNAR,0.3,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.3
238,KNN,197,MNAR,0.5,pgin,downstream_performance_mean,Regression Tasks,9.193421286839728,0.0,9.193406121006044,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.5
